authorName,ISBN
Mark P. O. Morford,0195153448
Richard Bruce Wright,0002005018
Carlo D'Este,0060973129
Gina Bari Kolata,0374157065
E. J. W. Barber,0393045218
Amy Tan,0399135782
Robert Cowley,0425176428
Scott Turow,0671870432
David Cordingly,0679425608
Ann Beattie,074322678X
David Adams Richards,0771074670
Adam Lebor,080652121X
Sheila Heti,0887841740
R. J. Kaiser,1552041778
Jack Canfield,1558746218
Loren D. Estleman,1567407781
Robert Hendrickson,1575663937
Julia Oliver,1881320189
John Grisham,0440234743
Toni Morrison,0452264464
The Onion,0609804618
Celia Brooks Brown,1841721522
J. R. Parrish,1879384493
Mary-Kate &amp; Ashley Olsen,0061076031
Robynn Clairday,0439095026
Kathleen Duey,0689821166
Rich Shapero,0971880107
Michael Crichton,0345402871
C.S. Lewis,0684823802
ARTHUR PHILLIPS,0375759778
Stephan Jaramillo,0425163091
Mordecai Richler,3404921038
Eleanor Cooney,3442353866
Charlotte Link,3442410665
Richard North Patterson,3442446937
Mark Salzman,0375406328
Harper Lee,0446310786
LAURA HILLENBRAND,0449005615
Barbara Kingsolver,0060168013
Jo Dereske,038078243X
Jane Austen,055321215X
Dolores Krieger,067176537X
Anne Rivers Siddons,0061099686
Dean R. Koontz,0553582909
Mary Higgins Clark,0671888587
Dean Koontz,0553582747
Patricia Cornwell,0425182908
J.D. Robb,042518630X
Maeve Binchy,0440223571
Laura J. Mixon,0812523873
Tim Lahaye,0842342702
M.D. Bernie S. Siegel,0060914068
Robert Penn Warren,0156047624
Hans Johannes Hoefer,0245542957
Mark Helprin,0380715899
O. Carol Simonton Md,0553280333
Chuck Hill,0961769947
David Iglehart,0964778319
Larry McMurtry,0671623249
SUZANNE FISHER STAPLES,0679810307
SUZANNE FISHER STAPLES,0679865691
Michel Tournier,2070423204
Carl Sagan,0345260317
Aleksandr Zinoviev,0394743741
Anne Tyler,042511774X
Amy Tan,0804106304
Joseph Conrad,1853262404
Deepak Chopra,0312970242
Thomas Hardy,1853260053
Charles Noland,1414035004
Valerie Frankel,0060938412
Benjamin Hoff,0140067477
LAURA HILLENBRAND,0345465083
Niccolo Machiavelli,0451625889
H. Jackson Brown,1558531025
Robert A. Heinlein,0441783589
PHILIP PULLMAN,0394895894
Anna Sewell,1569871213
MICHAEL ONDAATJE,0375410538
Sandra Levy Ceren,0966986105
P.J. O'Rourke,087113375X
Mike Gayle,0340767936
Stel Pavlou,0743403843
Sarah Payne Stuart,0060930365
Dan Quayle,0060177586
Donald F. Kettl,0071416331
DAVID FRUM,0375509038
Louis Lamour,0553062042
J.D. Salinger,0316769487
J. R. R. Tolkien,8445071408
J. R. R. Tolkien,8445071769
J. R. R. Tolkien,8445071777
John Berendt,0679429220
Mary Higgins Clark,0671867156
Jennifer Crusie,0312252617
Jane Heller,0312261594
Michael Rips,0316748641
Simon Mawer,0316973742
William Abrahams,0385235941
Robert T. Kiyosaki,0446677450
Ken Follett,0451166892
John F. Love,0553347594
Robert G. Allen,0671621009
LOUIS DE BERNIERES,067976397X
Pam Proctor,0684822733
Mitch Albom,0786868716
Irene Gonzalez Frei,8472238822
Michael Jan Friedman,0671864769
Glendon Swarthout,0671521519
Neal Barrett Jr.,0440222303
David Morrell,0312953453
Sandra Brown,0446608653
James Patterson,0446612545
Sandra Brown,0446612618
Stuart Woods,0451208080
IRIS JOHANSEN,0553584383
Dan Brown,0671027360
Joe Hutsko,0812575954
Anita Shreve,0316735736
Ann Rule,0743439740
LEWIS GRIZZARD,0345372700
Paul Theroux,0380619458
Charles Hickey,0451406923
Stephen King,0671042858
Ben Mezrich,0743249992
Bill Hand,0840734530
Tom Clancy,0425184226
DANA REEVE,0375500766
Roy,9724119378
Barbara Metzger,0451205197
Gabriel Garcia Marquez,0060929790
Rebecca Wells,0060976845
Tony Hillerman,0061099325
Mary Higgins Clark,0671004573
Robert James Waller,0446601640
Rachel Harris,0330484516
IAN MCEWAN,038572179X
Michael Lewis,0393020371
Richard Zimler,1900850303
Norman Jetmundsen,1903019699
Lorenzo Carcaterra,0345425294
Anne Frasier,0451410319
Kay Hooper,0553583468
Soren Kierkegaard,8420639133
Jose Ortega Y Gaset,8476409419
Daphne Du Maurier,0380778556
Nathaniel Hawthorne,0451525221
Nick Page,0002740230
Laura Wolf,0385336772
LOIS DUNCAN,0440949424
Susan Grant,0505524996
Barbara Vine,0140252800
Shirley Rousseau Murphy,0451452755
Jane Lindskold,0812575482
Robert James Waller,044651747X
Betty Smith,0060801263
Cybill Shepherd,0061030147
Stewart O'Nan,0140250964
David Baldacci,0446527165
Douglas Adams,0671461494
Mary Lawson,0385337639
Willa Cather,039575514X
Olivia Goldsmith,0451206673
Helen Fielding,0330332775
Jane Austen,0486284735
Franklin W. Dixon,0671021745
Franklin W. Dixon,0671047612
Franklin W. Dixon,0671504282
Lilian Jackson Braun,0399138684
Holly Virden,0785263292
H. Norman Wright,0830714014
Piers Anthony,0345354931
RAY BRADBURY,0553278223
Schiller,3150000335
Raymond Chandler,3257207522
Paolo Coelho,3257233051
Gabriel Garcia Marquez,342311360X
Fay Weldon,3423116714
Arabella Weir,3423241489
Kiana Davenport,3426605686
Sue Townsend,3453212150
Renan Demirkan,3462021095
Michael Moore,3492045642
Jonathan Franzen,3498020862
Jerome D. Salinger,3499110695
Jerome D. Salinger,3499151502
James Joyce,3518111000
Joanna Trollope,3548254268
Sue Townsend,3570300099
Milan Kundera,3596292646
Arundhati Roy,0060977493
Robert S. Levinson,0312872682
James Patterson,0316602906
James Patterson,0316693006
Richard North Patterson,0345311396
Michael Crichton,0345378490
Richard North Patterson,0345404793
Lorna Landvik,0345433173
Arthur Golden,0375400117
KENT HARUF,0375705856
Patricia D. Cornwell,0380717018
Patricia D. Cornwell,0380718332
Carol J. Farley,0380754509
Kathleen E. Woodiwiss,038076654X
Kathleen E. Woodiwiss,0380807866
Belva Plain,0385316895
John Grisham,0385508042
MARK HADDON,0385509456
John Grisham,0385511612
ANN BRASHARES,0385730586
Erich Segal,0425164403
Elizabeth Adler,0440234964
James Patterson,0446605484
Nicholas Sparks,0446610399
JOHN SAUL,0449006522
Stephen King,0451162072
Steve Thayer,0451186648
Tracy Chevalier,0452282152
Judith Kelman,051513290X
Michael Palmer,0553580388
Francine Hughes,0590598848
Norman Bridwell,0590629719
Patricia Cornwell,0671023616
Dan Brown,0671027387
Frank McCourt,0684848783
Dan Brown,0743486226
Malachy McCourt,0786863986
Mari Sandoz,0803251718
Anne Perry,0804117934
ALEXANDER MCCALL SMITH,140003180X
Jack Canfield,155874262X
Gregory Maguire,0060987103
Yann Martel,0151008116
Ruth Rendell,0375704965
Al Franken,0525947647
DONNA TARTT,0804111359
Jack Canfield,1558744150
John Milne,0435272683
Anita Shreve,0316782505
Terry Pratchett,006102063X
Terry Pratchett,0060013117
Terry Pratchett,0060199563
E. B. White,006052779X
J. M. Barrie,0060563079
Mary O'Hara,0060809027
Terry Pratchett,0061040967
Terry Pratchett,0061050474
Terry Pratchett,0061052515
Terry Pratchett,0061052523
Louise Rennison,0064472264
Jane Austen,0140620664
Kenneth Grahame,0312148267
Bernard Cornwell,0312156960
Charles de Lint,0312890044
Edward John Moreton Drax Plunkett Dunsany,034543191X
Georgette Heyer,0373836023
OSCAR WILDE,0375751513
Ted Hughes,0375801677
ROALD DAHL,0375814248
PHILIP PULLMAN,0375823352
PHILIP PULLMAN,037582345X
PHILIP PULLMAN,0375823468
Sue Townsend,0380730448
Donna Jo Napoli,0385327773
A. S. Byatt,0394586239
Tanuja Desai Hidier,0439510112
SOPHIE KINSELLA,0440241413
Isabel Wolff,0451409256
Louisa May Alcott,0451523415
Jane Austen,0451526279
George Orwell,0451526341
Charles Dickens,0486415864
Isabel Allende,0553280589
Barbara Kingsolver,0571197639
Ellen Datlow,0670035262
Charles Dickens,0679423079
A.S. BYATT,0679751343
Joseph Heller,0684833395
John Galsworthy,0743245024
Enid Blyton,0749748001
Enid Blyton,0749748028
Neil Gaiman,0963094424
Alan Moore,1401201172
Neil Gaiman,1563892278
Alan Moore,1563898586
Neil Gaiman,156971620X
Trudy Suggs,1592571301
Tom Wolfe,0374270325
Brady Udall,0375719180
Homer Hickam,0440235502
John Grisham,044023722X
Pearl Abraham,1573225487
Thomas Hardy,1853260673
Sebastian Junger,0060977477
Karen Armstrong,0345391691
Mary Barnard,0520011171
David Brin,0553278746
T. Coraghessan Boyle,0670856045
Paul Woodruff,0872200760
Lynda Madaras,0937858994
Stephen McCauley,0671649949
Isabelle Holland,0590431110
Pam Conrad,0064470113
Lurlene McDaniel,0553571486
Brian Kaufman,0972044205
John Darnton,0312963009
Martin Schenk,0345430476
DAVID EDDINGS,0345435869
Paul Reiser,0380728729
David G. Hartwell,038081840X
Dave Barry,0449912302
John R. Holt,055329198X
Theodore Beale,0671018930
Frank M. Robinson,0812541642
Mary Jane Clark,0312988699
Mary Wollstonecraft Shelley,0486282112
Isabel-Clara Simó,8483007010
Robert Westall,0670815373
Robert B. Parker,0385313748
Rita Chapman Works,1575843366
Patricia Cornwell,0684193957
Douglas Adams,0345371984
A. Manette Ansay,0380730138
Sarah Waters,1573228737
Anne Frank,9681500555
Barry Lopez,0380711109
Greg Palast,0452283914
Tom Clancy,0425120279
Andrea Kane,067153484X
Nevada Barr,0380728273
Paul Auster,8433914545
Stephen King,8484509141
Margaret Maron,0446606197
EDNA BARKER,0771076002
Muriel Whitaker,0771088191
John Irving,1559703237
Golding,3596214629
HarperReference,0062770500
LTD,0671847546
Ann Patchett,0060188731
Sue Monk Kidd,0142001740
Bob Thiele,0195086295
Dan Brown,0312995423
Colleen McCullough,0380704587
Joanne Harris,0380815923
John Grisham,0385416342
Thomas Cahill,0385418493
John Grisham,038542471X
Michael Hudson,0425098109
Jane Smiley,0449005410
Dick Francis,0449202631
Dick Francis,0449207544
Nora Roberts,0515128554
Douglas Adams,0517577402
Jean Marzollo,0590450875
Walter Wick,0590481371
Barbara Delinsky,067103619X
P. D. James,0684177730
Arthur William Upfield,0684180200
Barbara Delinsky,0743411269
Christopher Rice,0743470389
Rex Stout,076218857X
Joan Anderson,0767905938
Vance Havner,0800706544
Warren W. Wiersbe,0801096677
Max Lucado,0849953014
Lawrence J Crabb,0891091963
Barry Neil Kaufman,0915811537
Bob Sjogren,0927545373
Frederick J. Moody,1575024179
Neal Pirolo,1880185008
William Sleator,0140345809
Antoine de Saint-Exupéry,0156528207
Richard Bach,0380012863
Kevin Sullivan,0451154916
Michele Morgan,0785815147
"Scott, Cunningham",0875421288
David Allen Hulse,1567184294
Richard Webster,156718796X
Bernard King,1862047626
Pat Hutchins,0020437501
William Shakespeare,0198320264
Melissa McClone,0373196989
Cheryl St. John,0373245580
Lewis Carroll,0451527747
Mary Higgins Clark,0671867113
Mark Twain,0812504208
Rebecca Wells,0060173289
Dog Mary Crow,0060973897
Sebastian Junger,006101351X
Linda Gordon,0140104682
Florence King,0312143370
Alice Sebold,0316666343
Spalding Gray,039456894X
Thomas Harris,0440224675
EDWARD RUTHERFURD,0449002632
Margaret Atwood,0449213773
Dorothy Allison,0452279690
Margaret Atwood,0553569058
MAYA ANGELOU,0679427430
Edith Wharton,0679725393
Mary Brave Bird,0802114369
John G. Neihardt,0803233019
Roland Warren,0819154946
Johnny Molloy,0897322339
James McCourt,0940322978
Elizabeth Wurtzel,1573225126
Bill Bradley,1579651658
Don Miguel Ruiz,1878424319
Luis Racionero,8401351421
Eugeni Perea Simón,8423324311
Thomas Hauser,8427007450
Vicenç Villatoro,8429734996
Víctor Mora,8429736131
Elena Castedo,8440616252
Ofèlia Dracs,8472224260
Ofèlia Dracs,8472227421
Antoni Serra,8474103347
M. Carme Junyent,8475960936
Jaume Capó,8477830029
Màrius Serra,8478091246
Ferran Torrent,8478097732
Joan Agut,8478098267
Carmen Rico-Godoy,8478800336
Maeve Binchy,8478884963
Ferran Torrent,8483002523
Maria Jaén,8486433193
Paul Lester,0600586898
Leo Tolstoy,1853260622
Simon Nye,1857938011
Robert A Johnson,0060804157
Horacio Vazquez-Rial,8466601090
Marc Gascoigne,0140382658
Stephanie Maze,0152012966
Sandra Dallas,0312283784
Piers Anthony,0345297709
Piers Anthony,0345313097
Anne McCaffrey,0345335465
David Gemmell,0345416848
Laura Zigman,0385333404
John Grisham,044021145X
Margaret Truman,0449212084
Nic Kynaston,0553582682
Paula Danziger,0590947257
Richard A. Lupoff,074345829X
Carrie Bebris,0786913878
Ellen Carol Dubois,0801491827
Candice F. Ransom,0816729913
Sam Bobrick,0843136685
Anna Sewell,0866119531
Charles Dickens,0866119566
Donna K Grosvenor,0870441663
Mary Wollstonecraft Shelley,1561561428
Anne McCaffrey,0553258524
Robert Westall,0688163726
Valerie Block,1569471096
Luanne Rice,055358099X
Alice Sebold,0316168815
T. Coraghessan Boyle,014023828X
Ellen Gilchrist,0316314927
TIM GAUTREAUX,0375414746
Richard Russo,0375726403
Margaret Atwood,0385503857
Jostein Gaarder,0425156842
ANNA QUINDLEN,0440226104
Diane Johnson,0452277337
Wally Lamb,0671021001
Adeline Yen Mah,0767903579
Barbara Ehrenreich,0805063897
DOROTHY DUNNETT,0679777431
JOHN LE CARRE,0553285343
A. C. Gordon,0486285529
Olivia Goldsmith,0671002481
Emily Dickinson,0812523385
Hazel Harrison,0895774666
Joseph Girzone,0020199090
Lorraine Anderson,0679733825
Tim Lahaye,0842329129
AD HUDLER,0345451260
Josephine Carlton,0740700235
Ted L. Nancy,0380973545
Francis Wheen,0393321576
Stephen King,0743424425
Joyce Reardon,0786868015
Sidney Sheldon,0446610178
Christopher Moore,0684854953
Mary Higgins Clark,0743229878
Robert Lacey,0380617625
Tim Dorsey,0380732335
JODI COMPTON,0385337132
Elmore Leonard,0440235057
Elmore Leonard,0445402040
Lynn Coady,0618119760
John Lawton,0871138646
Eileen Yin-Fei Lo,0026329859
Tilden H. Edwards,0060621257
Barbara Kingsolver,0060915544
Barbara Kingsolver,0060917016
Vikram Seth,0060925000
Isabel Allende,0060932759
Tony Hillerman,0061000280
Elizabeth Gaskell,0192815318
Anita Diamant,0312195516
Lauren Haney,0380792664
Gerald Stern,0393048977
Lilian Jackson Braun,0399137807
Patricia Daniels Cornwell,039914739X
Maeve Binchy,0451203046
Martha Grimes,0451410556
Henry James,0451523318
Sarah Orne Jewett,0486281965
William Carlos Williams,0486292940
Anthony Trollope,051762639X
Edith Wharton,0684824442
Harry Kemelman,0743458303
Mil Millington,081296666X
Suzanne G. Farnham,0819215635
Czeslaw Milosz,0880011025
Margaret Guenther,1561011525
Roberto Juarroz,1877727083
Akiba Rubinstein,0486206173
Emma McLaughlin,0312278586
P Coelho,8845229041
Elena Ferrante,887641486X
Paul Jennings,0140370900
"Mark E., Jr. Neely",0674511255
Stephen J. Weininger,0030096189
Larry Katzenstein,0312965745
David Steinman,0345374657
Alfie Kohn,0395710901
Paula Polk Lillard,080521061X
David Lewis,0823032612
Billie Livingston,0679310002
Adele Lang,0312288115
Jen Banbury,0316171107
Patricia Daniels Cornwell,0380710218
Catherine Coulter,0515118656
Dominick Dunne,0553289063
Clive Cussler,0671000306
Mary Higgins Clark,0671673688
John Pascal,1561672033
Carl Hiaasen,0425178242
Jonathan Safran Foer,0618173870
Yann Martel,0156027321
Francesca Marciano,0375403582
JULIA GLASS,0385721420
Tawni O'Dell,0451202341
Jennifer Weiner,0743418190
Danielle Steel,0385335407
Leon Hale,0965746828
Russell Banks,0060923245
Samuel Taylor Coleridge,0486272664
Bradley Warshauer,0786015276
Bobbie Ann Mason,0060913509
Nora Roberts,0553272837
Karen Robards,0440225078
Emma Lathen,0312145543
Dean R. Koontz,0425181111
Faye Kellerman,0380732688
Jacquelyn Mitchard,0140286276
Nora Roberts,0373484100
DIANE MOTT DAVIDSON,0553107305
Candace Bushnell,080213825X
Nora Roberts,0515127833
KRISTIN HANNAH,0345441133
Michael Marshall,0515134279
Allen Widome,0945586051
John Grisham,0385490992
John Grisham,0385424728
Wilbur Smith,0312980388
Mike Thaler,0590419625
John Grisham,0385472951
Michael Slade,0451195663
John Sandford,0425182878
TAMI HOAG,0553564528
TAMI HOAG,055356451X
Mary Higgins Clark,0743412621
Ted Dekker,0849943728
Angela Elwell Hunt,0849943450
Ted Dekker,084994371X
C. S. Lewis,0590406019
C. S. Lewis,0020442408
William Eisner,0553225987
Robin Cook,042517736X
Ann Rule,0671868713
E. LYNN HARRIS,038549825X
Linda Goodman,0553202294
ANNE RICE,0345313860
Judith Rossner,067170124X
Marilyn French,0345353625
Wayne W. Dyer,0308102282
Armistead Maupin,006017143X
Julie Morgenstern,0805056491
Peter Straub,0679401377
Jack,1562827049
Danielle Steel,0385306032
Barbara Taylor Bradford,0816152446
Lisa Jackson,0821772953
SHARYN MCCRUMB,0345379454
Kay Hooper,0553576925
Mary Higgins Clark,0743206053
Cokie Roberts,0688169678
Shana Corey,0439319552
Jesse S. Ostrow,0590870157
Justine Korman,0307001164
PATRICIA REILLY GIFF,0440441501
Beverly Cleary,0590687301
K. A. Applegate,0439061644
Jane Yolen,0439569842
Dinah L. Moche,0307118703
Marvin Miller,0590418858
Craig Boldman,030720152X
H. G. Wells,0816728739
Bobbie Kalman,0865050880
Mercedes Lackey,0812519655
Mercedes Lackey,0812524853
Dorothy Gilman,0449211770
Moveon,193072229X
Mercedes Lackey,0812521129
Christopher Finch,0345251733
CHARLES FRAZIER,1400077826
Julia Spencer-Fleming,0312995431
Julia Spencer-Fleming,0312312628
Fannie Flagg,0446394521
Laura Ingall Wilder,0590021117
Frank McCourt,068484267X
LISA GARDNER,0553578693
Beverly Cleary,0380709260
Gertrude Chandler Warner,0807565288
Julia Spencer-Fleming,0312986769
PHILIP PULLMAN,0345413377
PHILIP PULLMAN,0345413369
PHILIP PULLMAN,0679893105
Lynn S. Hightower,0061096091
Dorothy Gilman,0449209121
Eric Schlosser,0060938455
Suzanne Brockmann,080411952X
Gail Carson Levine,0060575808
Gail Carson Levine,0060558865
FRANCES KUFFEL,0767912918
Susan Conant,0553298860
DAVID SCHICKLER,0385335679
Maeve Binchy,0440122090
Judith McNaught,0671525832
Janet Evanovich,0061009059
Sylvia Plath,0060930187
Ilona Koidahl,0516076272
Richard North Patterson,0679450432
Fern Michaels,0821775863
Fern Michaels,0821770209
Betsy Byars,0670855758
Bruce Sterling,0553562819
James Patterson,0446364193
Sarah Ban Breathnach,0446519138
Alice Hoffman,0425179672
Lisa Scottoline,0061042943
Spencer Johnson,0399144463
David Feldman,006015781X
Richard Bausch,0060930705
Katie Fforde,0312206763
James Burke,0316116025
Bliss Broyard,0156013967
Sara Paretsky,0385314019
Charles Webb,0743444167
Elizabeth Benedict,0618231617
Stanley Morison,1567920047
Henry Miller,0811203220
David Whyte,1573229148
Warren  Bennis,0787955671
Martha Beck,0425174484
Desmond Mpilo Tutu,0385496907
Kris Shepard,0446523992
Jack Kerouac,0140185216
Martin Buber,0684717255
Niccolò Machiavelli,0486272745
Gianfranco Bettin,8807120194
Paul Monette,0062507249
Ernest Hemingway,0684801221
Melody Carlson,1576737357
Alisa Kwitney,0060083298
Billie Letts,0446672211
Melissa Bank,0140293248
Rena Kornreich Gelissen,0807070718
Moon Unit Zappa,0743213831
Ted Mooney,0345305477
Susan Wiggs,0061080519
Gwyn Hyman Rubio,0142000205
Elisabeth Robinson,0316735027
Audrey Niffenegger,193156146X
Anita Shreve,015600710X
Tim Farrington,0062517856
Mark Salzman,0679767789
Chaim Potok,0449911683
Scott Spencer,0425169626
Chaim Potok,0449207757
Chaim Potok,0449245691
V. S. Naipaul,0140029400
V.S. Naipaul,0140021566
Jean Giono,2253004022
Alain-Fournier,2253005274
Erich Maria Remarque,225300670X
Lewis,2266084372
Rene Barjavel,2070362388
Alexandra David-N�?©el,2266029460
C. Baudelaire,2253007102
Raymond Radiguet,2266033689
Emile Zola,2070384349
Jean Giono,207053880X
Pergaud,2070334368
Collectif,2290314951
Robert A. Heinlein,229000510X
Sten Nadolny,3492207006
Cheryl Benard,3499177757
Christa Wichterich,3889774016
John. Blofeld,3502670005
Christine Obbo,0905762487
Christa Wichterich,3499222604
Peter B Heim,3746670055
Jane Austen,0140620427
Hera Lind,3596144434
Arundhati Roy,3442724686
Dan Brown,0385504209
Nicholas Sparks,0446525502
Jane Hamilton,0385500769
Jack Higgins,0399147012
Helen Fielding,0670892963
A. Manette Ansay,0688180639
Anita Shreve,0316789089
Max Allan Collins,0451197275
Dave Barry,0425184129
David Guterson,0151001006
Bernhard Schlink,0679442790
Eric Jerome Dickey,0525943862
KRISTIN HANNAH,0609605925
Patricia Gaffney,0060191929
Mary Higgins Clark,0743206045
Barbara Delinsky,0684864843
Richard Paul Evans,0684867818
Marc Levy,0743406176
Laney Katz Becker,0380978539
John Irving,0679603352
VLADIMIR NABOKOV,0679410430
Nicholas Sparks,0446523569
Jennifer Lauck,0671042556
Richard North Patterson,0679450440
Joe Keenan,0140107649
Jeanne Ray,0609606727
Nicholas Sparks,0446527793
Nicholas Sparks,0446531332
Tony Parsons,1570717257
Jane McCafferty,0060192631
Laura Esquivel,0385420161
J.R.R. TOLKIEN,0345339711
Venise T. Berry,052594463X
Sebastian Junger,039304016X
Nora Roberts,0399147128
Jan Karon,0670031046
Cormac McCarthy,0394574745
James Patterson,0316969443
Mary Higgins Clark,0743230051
James Patterson,0316693200
Richard Paul Evans,0684868911
Travis Thrasher,0842336214
John McEnroe,0399148582
Barbara Delinsky,0684864320
Eric Jerome Dickey,0525944834
Sally Mandel,0345428900
Linda Lay Shuler,0451176812
Paul Theroux,0671525794
Dick Francis,0718144538
Janet Dailey,0446602086
Claude Lanzmann,0394551427
Lemony Snicket,0064407667
Matthew Thomas,0007100221
Boris Vian,2253148539
Gabriel Garcia Marquez,2253043974
Luis Sep�?ºlveda,2020315491
Hubert Selby,0747549923
Jacob Weisberg,0743462335
David Lodge,0140253580
Judy Hamilton,0947782141
Philip Ardagh,057120354X
Iain Banks,0349101779
Jacob Weisberg,0743222229
David Crombie,185479549X
John Steinbeck,0140292918
Michael O'Mara,1854795554
Richard Brassey,1858813093
Jean Van Hamme,2871290911
R. W. Holder,0198604025
Valerie Ferguson,1842151053
Bernard Werber,2253063339
Andy Sloss,1860198597
ALLAN ZOLA KRONZEK,0767908473
Charles L. Squire,1842040154
Gordon Jarvie,0140622063
Philip Ardagh,0571209521
Boris Vian,2264009306
Alan Spence,1841952931
Helene Siegel,0890877564
E.H. Shepard,1405200677
Alan Alexander Milne,0416196772
Eric Thompson,0747538069
Elizabeth Strout,0375501347
Russell Banks,0060927240
David Sedaris,0316776963
Leslie Feinberg,156341029X
Neil Gaiman,0060934719
Chris Anne Wolfe,1886383421
Lauren Sanders,1888451084
Gael Baudino,0451450256
Lauren Maddison,1555835953
Carol Anshaw,0395877563
Jean Stewart,0962893862
Emma Donoghue,1555834531
Deborah McDowell,0393318435
Karen X. Tulchinsky,0889740828
Dorothy Allison,1563410443
Jill Thompson,1563899388
Jody Seay,1563411148
Manda Scott,0553579681
Manda Scott,0553579673
Dean R. Koontz,0451181379
Jeff Foxworthy,0786889160
Terry Brooks,0345370740
A.C. Crispin,0553574175
A. C. Crispin,0553574167
A. C. Crispin,0553574159
Madelyn Arnold,0312287240
Tamora Pierce,0679801146
Carolyn Chute,0446300101
Sara Orwig,0821750410
Dean R. Koontz,0425142485
Melisa Michaels,0451456548
Isobel Bird,0060006048
Frederik Pohl,0312906552
VONDA MCINTYRE,0440117291
John Varley,0425049981
Nancy Garden,0374386676
Christopher Rice,0786886463
Nicola Griffith,0345395379
Jane Lindskold,0380788497
Julie Campbell,0307215342
Nancy Garden,0374343381
LEE SMITH,0345403339
JACQUELINE WOODSON,0440226694
Pat Head Summitt,0767903285
Richard Belzer,0345429176
Thomas Harris,038529929X
Nick Hornby,1573229571
Douglas Adams,0345418778
Colleen McCullough,0517201658
Stephen King,0743211383
Robert B. Parker,039914370X
Andrew L. Johnson,1884777805
Marian Babson,0312977905
W. Michael Gear,0812521331
Dean R. Koontz,0451205421
Paul Phifer,0894342789
Peter Hoeg,0440218535
Erma Bombeck,0449207595
Roberto Vecchioni,8806142267
John Mortimer,0670844594
E. L. Doctorow,039457513X
Simon Schama,0394559487
Frank Waters,0804001944
Karen Hesse,0590897985
Kenneth Oppel,0689832877
Carol Ryrie Brink,0689829698
K. A. Applegate,0439042917
C. S. Lewis,0064409457
C. S. Lewis,0064405052
Shelly R. Roberts,043922165X
Diane Duane,0152162445
Diane Duane,0152162577
Diane Duane,015216250X
Carolee Brockmann,1562477528
Rachel Roberts,0439221676
Rachel Roberts,0439221684
Rachel Roberts,0439221714
Rachel Roberts,0439221706
Rachel Roberts,0439221730
Lensey Namioka,0440415993
Jackie Eileen Behrend,0895872102
Andrew Clements,068983585X
Douglas Adams,0345391802
LOIS LOWRY,0440219078
Paul Hattaway,185424597X
Alain Stella,2080105434
Milena Moser,349913358X
Patricia Highsmith,3257201761
Ken Follett,3404121686
Ken Follett,3404118960
Stephen Donaldson,0345356578
STEPHEN R. DONALDSON,0345346971
Bernhard Schlink,0753804700
Stephen King,0451155750
Ellen Rimbauer,0786890436
Todd Herzog,0415928087
John Borneman,0521427150
ROBERT S. MCELVAINE,0812923278
Bram Stoker,0884111342
Michael A. Stackpole,0345428544
Douglas Adams,0671694049
Langston Hughes,080901582X
Anne Perry,0449006557
Carol Matthews,0373250339
Carole Matthews,0380820447
Jacqueline L. Tobin,0385497679
Marion Zimmer Bradley,0451454243
Andrei Codrescu,0941423042
Carolyne Aarsen,0373871562
Louis L'Amour,0553101439
Jack Chapman,0898151910
Anthony J Alessandra,0835949362
Charles R. Swindoll,0880701102
Tom Clancy,039914563X
Orson Scott Card,0312853238
V. A Howard,0688048730
Tom Clancy,0425161722
John Grisham,0385493800
Walter P. Wilson,0849916399
Bruce Fries,1928791107
"Rush H., III Limbaugh",067175145X
Anne Dingus,0877192820
Kate Chopin,0380002450
Kirk Kazanjian,0793133955
Donald Merriam Allen,0394178017
Tom Clancy,0425134350
William Maples,0385479689
Carl Hausman,0380754851
Richard Peck,0380538504
Michael Connelly,044661162X
Judith McNaught,0671742566
Lilian Jackson Braun,0515122408
John T. Lescroart,0440222818
John Jakes,0451204050
Alice McDermott,038533334X
Hilary Bailey,0449131548
Howard Fast,0440120470
Jessica Fletcher,0451188209
Belva Plain,0440130913
Margaret Truman,0449001954
Eileen Goudge,0451185277
Arnette Lamb,0671779338
Catherine Coulter,0515134368
Piers Anthony,0380759497
WALTER CRONKITE,0394578791
Tom Mula,1558505377
Lois Faye Dyer,0373245696
Sharon Lamb,0743201078
Sir Arthur Conan Doyle,068983571X
AGATHA CHRISTIE,0553256785
Mark Cohen,0892967994
Sherry Shahan,0061064505
Helen Myers,1551668785
Della Rowland,0836230868
Irving. Adler,0381999866
Elizabeth Peters,0380817144
Shirlee Busbee,0380752115
EMILY BRONTE,0553212583
Sidney Sheldon,0446364762
Robin Cook,0425166619
Frank E. Peretti,061312975X
John A. Keel,0765341972
Stefanie Scott,0590514776
